,index,Datum,Periode,Locatie,Site,Transect,Soortengroep,Aantal,Genus,Lat,Lon,Nauwkeurigheid,Meettoestel,Jaar,geometry,Mowing state,mow_shape_key,Group name,Afstand_rand
121,121,2020-04-09,p1,Palingbeek,sinus,V,Bijen,1,Apis,50.8214444853839,2.91364308446917,10,GSM,2020,POINT (47474.25537299512 168893.80876987334),,,Apis,
122,122,2020-04-09,p1,Palingbeek,sinus,V,Bijen,1,Apis,50.8213602891665,2.91378892958436,30,GSM,2020,POINT (47484.34675411726 168884.24330678303),,,Apis,
123,123,2020-04-09,p1,Palingbeek,sinus,V,Bijen,1,Andrena,50.8214328345385,2.91366789490256,10,GSM,2020,POINT (47475.977887154004 168892.47873748187),,,Other bees,
124,124,2020-04-09,p1,Palingbeek,sinus,V,Bijen,1,Apis,50.8211845625665,2.91351559572193,30,GSM,2020,POINT (47464.70740352073 168865.07647456508),,,Apis,
125,125,2020-04-09,p1,Palingbeek,sinus,V,Bijen,1,Andrena,50.821045842069,2.9145583882955,50,GSM,2020,POINT (47537.87064880841 168848.20935742185),,,Other bees,
126,126,2020-04-09,p1,Palingbeek,sinus,V,Dagvlinders,1,Aglais,50.8203244116631,2.91517931968245,30,GSM,2020,POINT (47580.04554699297 168767.11659400538),,,Butterflies,
127,127,2020-04-09,p1,Palingbeek,sinus,V,Bijen,1,Bombus,50.8214991353925,2.91517512873087,50,GSM,2020,POINT (47582.30707753153 168897.77355651092),,,Bombus,
128,128,2020-04-09,p1,Palingbeek,sinus,V,Bijen,1,Apis,50.8211638173562,2.91517554782602,50,GSM,2020,POINT (47581.60678192544 168860.47935600206),,,Apis,
129,129,2020-04-09,p1,Palingbeek,sinus,V,Dagvlinders,1,Celastrina,50.8203162393075,2.91485720314357,30,GSM,2020,POINT (47557.33405118089 168766.65183047391),,,Butterflies,
130,130,2020-04-09,p1,Palingbeek,sinus,V,Bijen,1,Apis,50.8210698981311,2.91411590762708,50,GSM,2020,POINT (47506.749948971774 168851.49523629528),,,Apis,
131,131,2020-04-09,p1,Palingbeek,sinus,V,Dagvlinders,1,Pieris,50.8212006977301,2.91299122385952,100,GSM,2020,POINT (47427.80030170307 168867.59490654524),,,Butterflies,
132,132,2020-04-09,p1,Palingbeek,sinus,V,Bijen,1,Lasioglossum,50.821928540292,2.91365833953294,30,GSM,2020,POINT (47476.38474178793 168947.62363784853),,,Other bees,
135,135,2020-04-09,p1,Kemmelberg,blok,V,Bijen,1,Andrena,50.7787835319068,2.79646248556934,100,GSM,2020,POINT (39118.55972043137 164317.5350948358),,,Other bees,
138,138,2020-04-09,p1,Kemmelberg,sinus,V,Bijen,1,Andrena,50.7727526268463,2.79793719761334,10,GSM,2020,POINT (39208.35913155263 163644.6152940588),,,Other bees,
