Part,Site,Locatie,Datum,x_index,y_index,freq,average power
mow,blok,Muziekbos,20220705,4,15,1.25-2.5,0.010236224250082093
mow,blok,Muziekbos,20220705,4,16,1.25-2.5,0.015487622347745028
mow,blok,Muziekbos,20220705,4,17,1.25-2.5,0.01372189102750836
mow,blok,Muziekbos,20220705,4,18,1.25-2.5,0.012084094561063326
mow,blok,Muziekbos,20220705,4,19,1.25-2.5,0.020147679218879114
mow,blok,Muziekbos,20220705,5,13,1.25-2.5,0.018614501197299203
mow,blok,Muziekbos,20220705,5,14,1.25-2.5,0.017119511479820125
mow,blok,Muziekbos,20220705,5,15,1.25-2.5,0.025711069173746177
mow,blok,Muziekbos,20220705,5,16,1.25-2.5,0.010866500503255492
mow,blok,Muziekbos,20220705,5,17,1.25-2.5,0.029096891318723596
mow,blok,Muziekbos,20220705,5,18,1.25-2.5,0.019143550290372267
mow,blok,Muziekbos,20220705,5,19,1.25-2.5,0.013758305925311465
mow,blok,Muziekbos,20220705,5,20,1.25-2.5,0.016301922342438244
mow,blok,Muziekbos,20220705,6,13,1.25-2.5,0.02258463879565259
mow,blok,Muziekbos,20220705,6,14,1.25-2.5,0.013519362914256561
mow,blok,Muziekbos,20220705,6,15,1.25-2.5,0.01325980137556027
mow,blok,Muziekbos,20220705,6,16,1.25-2.5,0.019319982173003795
mow,blok,Muziekbos,20220705,6,17,1.25-2.5,0.012038578709244449
mow,blok,Muziekbos,20220705,6,18,1.25-2.5,0.01464011355713531
mow,blok,Muziekbos,20220705,6,19,1.25-2.5,0.016143723478961935
mow,blok,Muziekbos,20220705,6,20,1.25-2.5,0.019225749980597506
mow,blok,Muziekbos,20220705,7,4,1.25-2.5,0.021971753793996532
mow,blok,Muziekbos,20220705,7,14,1.25-2.5,0.020354719295368327
mow,blok,Muziekbos,20220705,7,15,1.25-2.5,0.014980703278299257
mow,blok,Muziekbos,20220705,7,16,1.25-2.5,0.015745045810868413
mow,blok,Muziekbos,20220705,7,17,1.25-2.5,0.017649671625701975
mow,blok,Muziekbos,20220705,7,18,1.25-2.5,0.014490596242162174
mow,blok,Muziekbos,20220705,7,19,1.25-2.5,0.009530752677739639
mow,blok,Muziekbos,20220705,7,20,1.25-2.5,0.014625816256294161
mow,blok,Muziekbos,20220705,7,21,1.25-2.5,0.01348480053992816
